false_ties_score,true_ties_score,unlink_ties_score
-0.0009352,-0.0010695,-0.0008814
-0.0009217,-0.0010442,-0.0008729
-0.0009179,-0.0010093,-0.0007667
-0.0009159,-0.0009664,-8.71e-05
-0.0009029,-0.0009521,-5.98e-05
-0.0008924,-0.0009428,-4.84e-05
-0.000891,-0.0009377,-4.53e-05
-0.0008906,-0.0009155,-3.21e-05
-0.0008885,-0.0009131,-2.83e-05
-0.0008862,-0.0008843,-2.23e-05
-0.0008848,-0.0008814,-2.22e-05
-0.000883,-0.0008778,-2.02e-05
-0.0008819,-0.0008775,-1.15e-05
-0.0008814,-0.0008774,-4.1e-06
-0.0008808,-0.0008739,1.04e-05
-0.0008806,-0.0008729,2.02e-05
-0.00088,-0.0008687,2.17e-05
-0.000879,-0.0008668,2.92e-05
-0.0008786,-0.0008608,3.25e-05
-0.000878,-0.0008571,3.71e-05
-0.0008769,-0.0008561,8.15e-05
-0.0008768,-0.0008539,9.2e-05
-0.0008758,-0.0008486,9.36e-05
-0.0008753,-0.0008437,0.0001364
-0.0008752,-0.0008346,0.0001426
-0.0008745,-0.0008334,0.0001443
-0.000874,-0.0008001,0.0001461
-0.0008736,-0.000796,0.0001492
-0.0008734,-0.0007888,0.0001528
-0.0008734,-0.0007814,0.0001542
-0.0008732,-0.0007748,0.0001569
-0.0008729,-0.0007721,0.0001899
-0.0008726,-0.0007675,0.0012254
-0.0008726,-0.0007667,0.001229
-0.0008723,-0.0007194,0.0012365
-0.000872,-0.0006857,
-0.0008718,-0.0006844,
-0.0008714,-0.0006644,
-0.0008706,-0.0006605,
-0.0008702,-0.0006495,
-0.0008702,-0.0006409,
-0.0008694,-0.0006036,
-0.0008686,-0.0004569,
-0.0008673,-0.0004227,
-0.0008671,-0.0003966,
-0.0008671,-0.0003129,
-0.0008661,-0.0003028,
-0.0008658,-0.00028,
-0.0008656,-0.0002663,
-0.0008652,-0.0002537,
-0.0008652,-0.0002482,
-0.0008642,-0.0002414,
-0.0008637,-0.0002328,
-0.0008627,-0.0002311,
-0.0008627,-0.0002285,
-0.0008617,-0.0002264,
-0.0008612,-0.0002028,
-0.000861,-0.0002016,
-0.0008596,-0.0001847,
-0.0008591,-0.0001811,
-0.0008591,-0.000181,
-0.0008582,-0.0001771,
-0.0008579,-0.0001761,
-0.000856,-0.0001723,
-0.000855,-0.000168,
-0.0008541,-0.0001672,
-0.0008531,-0.0001634,
-0.0008517,-0.0001631,
-0.0008516,-0.0001621,
-0.000851,-0.0001611,
-0.0008489,-0.0001594,
-0.0008488,-0.0001565,
-0.0008472,-0.0001522,
-0.0008471,-0.0001506,
-0.0008423,-0.0001254,
-0.0008422,-0.0001243,
-0.0008413,-0.0001222,
-0.0008408,-0.0001128,
-0.0008395,-0.0001067,
-0.0008349,-0.0001056,
-0.0008236,-0.000102,
-0.00081,-0.0001008,
-0.0008098,-9.39e-05,
-0.0007985,-9.11e-05,
-0.0007798,-8.71e-05,
-0.0007667,-8.3e-05,
-0.0007648,-8.29e-05,
-0.000762,-8.21e-05,
-0.0006722,-8.04e-05,
-0.0003226,-7.6e-05,
-0.000309,-7.28e-05,
-0.0003033,-7.18e-05,
-0.0003023,-6.81e-05,
-0.000298,-6.5e-05,
-0.0002903,-6.41e-05,
-0.0002797,-6.32e-05,
-0.0002783,-6.24e-05,
-0.0002779,-6.03e-05,
-0.0002758,-5.98e-05,
-0.0002736,-5.44e-05,
-0.0002721,-5.17e-05,
-0.0002716,-5.17e-05,
-0.0002693,-5.13e-05,
-0.0002688,-5.1e-05,
-0.0002682,-4.9e-05,
-0.0002679,-4.84e-05,
-0.0002677,-4.53e-05,
-0.000266,-4.41e-05,
-0.0002653,-4.14e-05,
-0.0002648,-4.14e-05,
-0.0002647,-3.85e-05,
-0.0002642,-3.31e-05,
-0.0002641,-3.26e-05,
-0.0002632,-3.21e-05,
-0.0002627,-3.2e-05,
-0.0002619,-2.83e-05,
-0.0002614,-2.82e-05,
-0.0002613,-2.56e-05,
-0.000261,-2.23e-05,
-0.0002607,-2.22e-05,
-0.0002607,-2.14e-05,
-0.0002606,-2.02e-05,
-0.0002603,-1.87e-05,
-0.0002599,-1.86e-05,
-0.0002596,-1.57e-05,
-0.0002593,-1.56e-05,
-0.0002591,-1.54e-05,
-0.0002588,-1.48e-05,
-0.0002579,-1.2e-05,
-0.000256,-1.15e-05,
-0.0002559,-1.02e-05,
-0.0002544,-1.01e-05,
-0.0002542,-6.2e-06,
-0.0002535,-5.9e-06,
-0.0002532,-5.7e-06,
-0.0002529,-5.1e-06,
-0.0002526,-4.1e-06,
-0.0002526,-3.9e-06,
-0.0002525,-2.2e-06,
-0.0002516,-2.1e-06,
-0.0002511,-1e-06,
-0.00025,5.1e-06,
-0.00025,5.4e-06,
-0.000249,5.5e-06,
-0.0002485,7.1e-06,
-0.0002483,7.6e-06,
-0.0002469,8.5e-06,
-0.0002464,8.9e-06,
-0.0002464,9e-06,
-0.000246,9.8e-06,
-0.0002453,1.03e-05,
-0.0002434,1.04e-05,
-0.0002423,1.06e-05,
-0.0002405,1.08e-05,
-0.0002391,1.13e-05,
-0.000239,1.27e-05,
-0.0002389,1.66e-05,
-0.0002388,1.67e-05,
-0.0002387,1.9e-05,
-0.0002383,2.02e-05,
-0.0002363,2.17e-05,
-0.0002345,2.22e-05,
-0.0002345,2.25e-05,
-0.0002318,2.42e-05,
-0.0002297,2.71e-05,
-0.0002296,2.78e-05,
-0.0002282,2.87e-05,
-0.0002268,2.92e-05,
-0.0002223,3.01e-05,
-0.0002208,3.04e-05,
-0.0002134,3.05e-05,
-0.0002123,3.25e-05,
-0.000201,3.26e-05,
-0.0001973,3.53e-05,
-0.0001972,3.54e-05,
-0.0001921,3.65e-05,
-0.0001669,3.67e-05,
-0.0001548,3.7e-05,
-0.0001541,3.71e-05,
-0.0001524,3.74e-05,
-0.0001494,3.79e-05,
-0.0001213,3.83e-05,
-0.000112,3.9e-05,
-0.0001069,4.28e-05,
-0.0001044,4.93e-05,
-9.47e-05,5.05e-05,
-9.08e-05,5.09e-05,
-9.03e-05,5.2e-05,
-8.71e-05,5.23e-05,
-8.61e-05,5.29e-05,
-8.47e-05,5.82e-05,
-8.41e-05,5.9e-05,
-8.23e-05,6.26e-05,
-7.98e-05,6.31e-05,
-7.49e-05,6.47e-05,
-7.21e-05,6.71e-05,
-6.23e-05,6.74e-05,
-6.18e-05,6.85e-05,
-6.16e-05,7.1e-05,
-6.02e-05,7.14e-05,
-5.98e-05,7.23e-05,
-5.76e-05,7.27e-05,
-5.54e-05,7.3e-05,
-5.39e-05,7.34e-05,
-5.34e-05,7.37e-05,
-5.34e-05,7.37e-05,
-5.22e-05,7.49e-05,
-5.22e-05,7.53e-05,
-5.19e-05,7.68e-05,
-5.11e-05,7.72e-05,
-5.06e-05,7.92e-05,
-5.06e-05,7.92e-05,
-5e-05,7.93e-05,
-4.99e-05,8.06e-05,
-4.98e-05,8.15e-05,
-4.96e-05,8.21e-05,
-4.96e-05,8.21e-05,
-4.92e-05,8.57e-05,
-4.91e-05,8.6e-05,
-4.84e-05,8.67e-05,
-4.83e-05,8.85e-05,
-4.82e-05,8.9e-05,
-4.8e-05,8.95e-05,
-4.78e-05,9.09e-05,
-4.72e-05,9.2e-05,
-4.7e-05,9.32e-05,
-4.69e-05,9.36e-05,
-4.67e-05,9.41e-05,
-4.65e-05,9.44e-05,
-4.61e-05,9.49e-05,
-4.59e-05,9.54e-05,
-4.54e-05,9.57e-05,
-4.53e-05,9.99e-05,
-4.5e-05,0.0001003,
-4.49e-05,0.0001004,
-4.46e-05,0.0001027,
-4.45e-05,0.0001042,
-4.44e-05,0.000107,
-4.37e-05,0.0001074,
-4.32e-05,0.0001076,
-4.32e-05,0.0001086,
-4.31e-05,0.0001089,
-4.28e-05,0.0001096,
-4.25e-05,0.0001102,
-4.25e-05,0.0001111,
-4.25e-05,0.0001124,
-4.24e-05,0.0001128,
-4.22e-05,0.0001135,
-4.21e-05,0.000116,
-4.21e-05,0.0001165,
-4.18e-05,0.0001168,
-4.18e-05,0.0001176,
-4.16e-05,0.0001178,
-4.15e-05,0.0001186,
-4.12e-05,0.0001187,
-4.12e-05,0.0001205,
-4.1e-05,0.0001206,
-4.09e-05,0.0001209,
-4.06e-05,0.0001214,
-4.05e-05,0.0001216,
-4.04e-05,0.0001248,
-3.99e-05,0.0001255,
-3.98e-05,0.0001282,
-3.98e-05,0.0001282,
-3.98e-05,0.0001335,
-3.97e-05,0.0001364,
-3.94e-05,0.0001376,
-3.93e-05,0.0001377,
-3.93e-05,0.0001395,
-3.9e-05,0.0001417,
-3.86e-05,0.0001419,
-3.83e-05,0.0001426,
-3.79e-05,0.0001443,
-3.79e-05,0.0001446,
-3.77e-05,0.0001461,
-3.74e-05,0.0001468,
-3.64e-05,0.000148,
-3.63e-05,0.0001488,
-3.63e-05,0.0001492,
-3.63e-05,0.0001493,
-3.6e-05,0.0001504,
-3.56e-05,0.0001516,
-3.53e-05,0.0001523,
-3.5e-05,0.0001523,
-3.48e-05,0.0001528,
-3.44e-05,0.0001528,
-3.44e-05,0.0001542,
-3.43e-05,0.0001565,
-3.37e-05,0.0001565,
-3.34e-05,0.0001569,
-3.29e-05,0.0001583,
-3.21e-05,0.0001597,
-3.18e-05,0.00016,
-3.18e-05,0.0001601,
-3.09e-05,0.0001606,
-3.03e-05,0.0001632,
-3.02e-05,0.0001661,
-3.01e-05,0.0001663,
-3e-05,0.0001671,
-2.88e-05,0.0001679,
-2.83e-05,0.0001694,
-2.83e-05,0.0001694,
-2.79e-05,0.0001707,
-2.74e-05,0.0001718,
-2.71e-05,0.0001738,
-2.66e-05,0.0001738,
-2.63e-05,0.0001742,
-2.54e-05,0.0001757,
-2.52e-05,0.000176,
-2.52e-05,0.0001761,
-2.44e-05,0.0001762,
-2.41e-05,0.0001782,
-2.32e-05,0.0001784,
-2.31e-05,0.00018,
-2.23e-05,0.00018,
-2.22e-05,0.0001814,
-2.19e-05,0.0001815,
-2.09e-05,0.0001817,
-2.08e-05,0.0001834,
-2.08e-05,0.0001842,
-2.02e-05,0.0001857,
-1.98e-05,0.0001858,
-1.9e-05,0.0001865,
-1.81e-05,0.0001876,
-1.79e-05,0.0001884,
-1.78e-05,0.0001897,
-1.76e-05,0.0001899,
-1.73e-05,0.0001924,
-1.72e-05,0.0001933,
-1.67e-05,0.0001943,
-1.64e-05,0.0001951,
-1.63e-05,0.0001955,
-1.59e-05,0.0001956,
-1.51e-05,0.0001961,
-1.5e-05,0.0001962,
-1.46e-05,0.0002007,
-1.37e-05,0.0002024,
-1.29e-05,0.0002031,
-1.29e-05,0.0002035,
-1.15e-05,0.0002048,
-1.14e-05,0.0002049,
-1.05e-05,0.0002056,
-1e-05,0.0002057,
-9.7e-06,0.000206,
-9.4e-06,0.000206,
-9e-06,0.0002062,
-8.7e-06,0.0002097,
-8.5e-06,0.0002116,
-8.3e-06,0.0002122,
-8.2e-06,0.0002143,
-8.1e-06,0.0002148,
-8.1e-06,0.0002163,
-7.4e-06,0.0002164,
-7e-06,0.0002174,
-5.6e-06,0.0002212,
-5.4e-06,0.0002254,
-4.4e-06,0.0002257,
-4.1e-06,0.0002259,
-3.8e-06,0.0002261,
-3.5e-06,0.000227,
-2.6e-06,0.0002296,
-2.5e-06,0.0002296,
-2e-06,0.0002314,
-1.2e-06,0.0002316,
-6e-07,0.0002351,
-2e-07,0.000237,
0.0,0.000237,
0.0,0.0002381,
1e-07,0.0002385,
8e-07,0.0002409,
1.1e-06,0.000241,
1.4e-06,0.0002419,
1.6e-06,0.0002431,
3.5e-06,0.0002446,
4e-06,0.0002458,
4.8e-06,0.0002478,
6.3e-06,0.0002482,
6.3e-06,0.0002498,
6.5e-06,0.000253,
7e-06,0.0002534,
7.3e-06,0.0002534,
7.8e-06,0.0002534,
8.1e-06,0.0002537,
8.8e-06,0.0002551,
9.1e-06,0.0002551,
9.7e-06,0.0002551,
1.04e-05,0.0002556,
1.07e-05,0.0002592,
1.22e-05,0.0002607,
1.24e-05,0.0002627,
1.24e-05,0.0002654,
1.38e-05,0.0002655,
1.43e-05,0.0002681,
1.43e-05,0.0002758,
1.47e-05,0.000276,
1.52e-05,0.0002785,
1.52e-05,0.0002812,
1.53e-05,0.0002852,
1.54e-05,0.000288,
1.6e-05,0.0002885,
1.72e-05,0.0002901,
1.84e-05,0.0002919,
1.93e-05,0.0002922,
2.02e-05,0.0002959,
2.06e-05,0.0002973,
2.08e-05,0.0003012,
2.1e-05,0.0003032,
2.16e-05,0.0003065,
2.17e-05,0.0003085,
2.18e-05,0.0003193,
2.24e-05,0.0003226,
2.44e-05,0.0003258,
2.46e-05,0.0003281,
2.47e-05,0.0003324,
2.52e-05,0.0003353,
2.6e-05,0.0003433,
2.62e-05,0.0003457,
2.62e-05,0.000346,
2.63e-05,0.0003493,
2.89e-05,0.0003493,
2.92e-05,0.0003507,
2.96e-05,0.0003539,
3.07e-05,0.0003541,
3.1e-05,0.0003555,
3.11e-05,0.0003565,
3.21e-05,0.0003566,
3.23e-05,0.0003607,
3.25e-05,0.0003612,
3.35e-05,0.0003617,
3.39e-05,0.0003625,
3.48e-05,0.0003652,
3.71e-05,0.0003677,
3.72e-05,0.0003713,
3.84e-05,0.0003764,
3.88e-05,0.000379,
3.99e-05,0.0003817,
4.2e-05,0.0003819,
4.94e-05,0.0003822,
4.98e-05,0.000385,
5.1e-05,0.0003861,
5.6e-05,0.0003869,
5.68e-05,0.0003919,
5.79e-05,0.0003929,
5.87e-05,0.0004062,
5.97e-05,0.0004119,
6.34e-05,0.0004127,
6.34e-05,0.0004145,
6.35e-05,0.0004154,
6.41e-05,0.0004163,
6.41e-05,0.0004218,
6.48e-05,0.0004222,
6.58e-05,0.0004241,
6.6e-05,0.0004267,
6.88e-05,0.0004277,
7.17e-05,0.0004294,
7.33e-05,0.0004303,
7.47e-05,0.000431,
7.48e-05,0.0004314,
7.74e-05,0.0004357,
7.96e-05,0.0004363,
7.97e-05,0.0004369,
8.15e-05,0.0004402,
8.27e-05,0.0004411,
8.44e-05,0.0004414,
9.2e-05,0.0004449,
9.36e-05,0.0004507,
9.5e-05,0.0004516,
9.62e-05,0.0004523,
9.86e-05,0.0004614,
9.93e-05,0.0004645,
0.0001013,0.0004658,
0.0001014,0.0004667,
0.000102,0.0004694,
0.0001029,0.0004742,
0.0001059,0.0004747,
0.0001067,0.0004756,
0.0001067,0.000476,
0.0001073,0.0004781,
0.0001082,0.0004788,
0.0001084,0.0004811,
0.0001085,0.0004818,
0.0001113,0.0004836,
0.0001115,0.000485,
0.0001149,0.0004851,
0.0001162,0.0004876,
0.0001237,0.0004888,
0.0001294,0.0004907,
0.0001316,0.0004913,
0.0001331,0.000493,
0.0001336,0.000494,
0.0001336,0.0004943,
0.0001349,0.0004946,
0.000136,0.0004948,
0.0001364,0.0004979,
0.0001371,0.0004998,
0.0001373,0.0005024,
0.0001375,0.0005027,
0.0001375,0.0005049,
0.0001389,0.000507,
0.0001392,0.0005075,
0.0001399,0.0005086,
0.0001404,0.0005088,
0.0001405,0.0005125,
0.000141,0.0005161,
0.0001411,0.0005177,
0.000142,0.0005178,
0.0001426,0.0005194,
0.0001427,0.0005195,
0.0001434,0.0005221,
0.0001439,0.0005244,
0.0001443,0.0005252,
0.0001445,0.0005258,
0.0001445,0.0005271,
0.000145,0.0005317,
0.0001451,0.000543,
0.0001453,0.0005493,
0.0001456,0.0005554,
0.0001459,0.0005566,
0.0001461,0.0005625,
0.0001464,0.0005657,
0.0001464,0.0005681,
0.0001473,0.0005704,
0.0001492,0.0005728,
0.0001526,0.0005868,
0.0001528,0.0005886,
0.0001537,0.0005891,
0.0001542,0.0005925,
0.0001552,0.0005945,
0.0001562,0.0005991,
0.0001567,0.0005994,
0.0001569,0.0006006,
0.0001571,0.0006016,
0.0001586,0.0006046,
0.0001587,0.000614,
0.0001588,0.0006246,
0.0001588,0.0006282,
0.0001592,0.0006361,
0.0001618,0.0006442,
0.0001629,0.0006453,
0.0001648,0.0006465,
0.0001665,0.0006519,
0.0001669,0.0006944,
0.0001704,0.0007678,
0.0001708,0.000779,
0.000177,0.0008493,
0.0001813,0.0010463,
0.000183,0.0010788,
0.0001844,0.0011626,
0.0001877,0.001167,
0.0001889,0.0011726,
0.0001899,0.001175,
0.0002011,0.001195,
0.0002079,0.0011971,
0.000208,0.0012019,
0.0002131,0.0012033,
0.0002194,0.0012038,
0.0002238,0.0012067,
0.0002272,0.0012067,
0.0002324,0.0012073,
0.0002504,0.0012082,
0.0002559,0.0012091,
0.0003136,0.0012112,
0.0004847,0.0012113,
0.0004932,0.0012128,
0.0005039,0.0012161,
0.000592,0.0012187,
0.0006345,0.0012195,
0.0011529,0.0012199,
0.0011664,0.0012229,
0.0011722,0.0012229,
0.0011732,0.0012244,
0.0011957,0.0012254,
0.0011975,0.0012269,
0.0011996,0.001229,
0.0012051,0.0012294,
0.0012062,0.001231,
0.0012075,0.0012321,
0.0012077,0.0012332,
0.0012106,0.0012354,
0.0012107,0.0012365,
0.0012123,0.0012371,
0.0012136,0.00124,
0.0012142,0.0012486,
0.0012145,0.0012532,
0.0012147,0.0012535,
0.0012147,0.0012726,
0.0012149,0.0012745,
0.0012152,0.0012783,
0.0012155,0.0012836,
0.0012158,0.0012865,
0.0012163,0.0012944,
0.0012194,0.0013067,
0.001221,0.0013083,
0.0012225,0.0013133,
0.001223,0.0013141,
0.0012239,0.001316,
0.0012254,0.0013417,
0.0012264,0.0013655,
0.0012272,0.0013687,
0.0012273,0.0013734,
0.0012285,0.001381,
0.001229,0.0014024,
0.0012302,0.0014037,
0.0012364,0.0014159,
0.0012365,0.0014237,
0.0012409,0.0014845,
0.001241,0.0015399,
0.0012459,0.0015429,
0.0012547,0.0015668,
0.0012781,0.001573,
0.0012833,0.0015833,
0.0013206,0.0015891,
0.0013261,0.0015907,
0.0015226,0.0015966,
0.0015362,0.0015969,
0.0015419,0.0016047,
0.0015693,0.0016061,
0.0015748,0.0016091,
0.0015759,0.0016107,
0.001582,0.0016155,
0.0015842,0.001617,
0.0015844,0.0016229,
0.0015844,0.0016342,
0.0015852,0.001648,
0.0015855,0.0016593,
0.001586,0.001669,
0.0015936,0.001678,
0.0015951,0.0016903,
0.0015961,0.0016911,
0.0015987,0.0017431,
0.0016958,0.0017734,
