false_ties_score,true_ties_score,unlink_ties_score
-0.88841,-0.88375,-0.39359
-0.85801,-0.85037,-0.36868
-0.84258,-0.63118,-0.35841
-0.15014,-0.58848,-0.35797
-0.07951,-0.58178,-0.35731
,-0.53236,-0.33363
-0.03566,-0.52761,-0.3271
,-0.52576,-0.31205
,-0.52526,-0.30756
-0.13815,-0.5223,-0.30464
-0.10021,-0.52215,-0.30226
,-0.51613,-0.30199
,-0.51466,-0.29898
-0.8657,-0.5094,-0.29869
-0.86375,-0.50495,-0.29666
-0.22381,-0.50444,-0.2835
,-0.50364,-0.28228
-0.85054,-0.50069,-0.27329
-0.23376,-0.49781,-0.26977
-0.16853,-0.49534,-0.25398
-0.10093,-0.49438,-0.25329
-0.07931,-0.49263,-0.25
-0.05954,-0.49121,-0.24213
-0.05175,-0.49065,-0.23718
-0.01114,-0.48963,-0.23218
-0.00756,-0.48749,-0.2315
,-0.48641,-0.23134
,-0.48447,-0.22535
,-0.48295,-0.22023
,-0.4814,-0.21815
-0.09928,-0.47938,-0.21372
-0.05639,-0.47843,-0.21333
-0.03953,-0.47803,-0.20848
-0.03628,-0.47563,-0.20765
0.14863,-0.47399,-0.20702
,-0.47382,-0.2063
,-0.47367,-0.20557
,-0.47311,-0.20498
,-0.47186,-0.20397
,-0.47124,-0.20064
,-0.47048,-0.19992
,-0.46842,-0.19772
,-0.46795,-0.19743
,-0.46773,-0.19375
,-0.46744,-0.19347
,-0.46647,-0.18947
,-0.46559,-0.18739
,-0.46542,-0.1872
,-0.46502,-0.18459
,-0.46477,-0.18279
,-0.46437,-0.18042
,-0.46346,-0.17736
,-0.46309,-0.17587
,-0.4606,-0.17553
,-0.46038,-0.17468
,-0.45992,-0.17331
-0.85659,-0.45931,-0.17245
,-0.45778,-0.17207
-0.24479,-0.4562,-0.17088
,-0.45541,-0.17035
,-0.4553,-0.16949
,-0.45529,-0.16865
,-0.45496,-0.16763
-0.8123,-0.45436,-0.16756
,-0.45331,-0.16569
-0.08009,-0.453,-0.16479
,-0.45274,-0.16039
,-0.45243,-0.15916
-0.12407,-0.45143,-0.15908
,-0.45092,-0.15892
,-0.45035,-0.15813
-0.02351,-0.44898,-0.15771
,-0.4484,-0.15679
,-0.44709,-0.15662
-0.10066,-0.44701,-0.15658
-0.07826,-0.44671,-0.15609
,-0.44659,-0.1556
,-0.4463,-0.1539
-0.19813,-0.4462,-0.15324
,-0.44454,-0.15196
,-0.4429,-0.15147
,-0.44288,-0.15076
,-0.44286,-0.15026
,-0.44278,-0.15002
-0.21303,-0.44274,-0.14935
,-0.44224,-0.14893
,-0.44202,-0.14884
-0.8371,-0.44176,-0.14864
,-0.44164,-0.14852
-0.27563,-0.44094,-0.14724
,-0.44066,-0.147
,-0.44036,-0.14618
,-0.43855,-0.14615
,-0.43777,-0.146
,-0.43688,-0.14551
,-0.43686,-0.14441
-0.01345,-0.43664,-0.14392
,-0.43652,-0.1439
,-0.43569,-0.14388
-0.3483,-0.43516,-0.14367
,-0.43508,-0.14286
-0.25505,-0.43434,-0.14272
,-0.43422,-0.14158
-0.86903,-0.43377,-0.14068
,-0.43351,-0.14002
-0.14331,-0.43315,-0.13999
0.04186,-0.4328,-0.13987
,-0.43208,-0.13905
,-0.43131,-0.13834
-0.12805,-0.43122,-0.13822
,-0.43089,-0.13683
,-0.42917,-0.13636
,-0.42881,-0.13633
,-0.42826,-0.13623
-0.02951,-0.4281,-0.13544
,-0.42775,-0.13437
,-0.42757,-0.13412
-0.85135,-0.42701,-0.13322
,-0.42662,-0.13308
-0.20161,-0.42572,-0.13268
,-0.42556,-0.13229
,-0.42486,-0.13191
,-0.42448,-0.13184
-0.85455,-0.42363,-0.13179
,-0.42326,-0.13154
,-0.42302,-0.13137
-0.12753,-0.42298,-0.13088
,-0.42291,-0.13066
-0.1008,-0.42228,-0.12976
,-0.42224,-0.12969
-0.23636,-0.4221,-0.12965
,-0.42177,-0.1296
-0.07875,-0.42071,-0.12951
,-0.4199,-0.12907
,-0.41987,-0.1284
,-0.41978,-0.12831
,-0.41974,-0.12799
-0.07004,-0.41972,-0.12798
0.00604,-0.41966,-0.12767
,-0.41876,-0.12765
-0.21988,-0.41816,-0.12618
,-0.41764,-0.12585
,-0.41758,-0.12581
-0.85713,-0.41739,-0.12565
-0.13999,-0.41732,-0.12515
-0.09659,-0.41699,-0.12513
-0.08336,-0.41671,-0.12438
-0.07919,-0.4165,-0.12409
-0.06527,-0.4162,-0.12385
-0.02939,-0.41612,-0.12371
,-0.41589,-0.12361
,-0.41535,-0.12352
,-0.4152,-0.12295
,-0.41518,-0.12236
,-0.41482,-0.12233
,-0.41479,-0.12228
,-0.41427,-0.12191
,-0.41408,-0.12171
,-0.41338,-0.12159
,-0.41327,-0.12075
,-0.41325,-0.12048
,-0.41286,-0.1204
-0.89828,-0.4127,-0.12031
-0.89681,-0.41217,-0.12027
-0.87332,-0.4119,-0.1202
-0.06211,-0.41175,-0.12008
,-0.41101,-0.11993
,-0.41063,-0.11989
,-0.40934,-0.11943
,-0.40854,-0.11913
-0.85307,-0.40849,-0.11795
-0.85275,-0.40806,-0.11766
-0.3984,-0.40798,-0.11745
-0.17889,-0.40776,-0.11686
-0.17843,-0.40698,-0.11646
-0.16393,-0.40692,-0.11605
-0.05577,-0.40692,-0.11579
-0.02776,-0.40542,-0.1157
-0.0181,-0.40398,-0.1154
-0.00753,-0.40368,-0.11523
,-0.40254,-0.11518
,-0.40179,-0.11509
-0.00562,-0.40141,-0.11506
0.02393,-0.40137,-0.11499
,-0.40128,-0.1144
,-0.40114,-0.11419
,-0.40091,-0.11396
,-0.40078,-0.11308
,-0.40072,-0.11307
,-0.39905,-0.11304
,-0.39896,-0.113
-0.88585,-0.39893,-0.11269
-0.16278,-0.39855,-0.11249
,-0.39755,-0.11218
,-0.39753,-0.11202
-0.89017,-0.3972,-0.11159
-0.8796,-0.39687,-0.1115
-0.83635,-0.39672,-0.11129
-0.18035,-0.39639,-0.11114
-0.17709,-0.3959,-0.11106
-0.1619,-0.39512,-0.11103
-0.15323,-0.39386,-0.11083
-0.13215,-0.39359,-0.11078
-0.12914,-0.39355,-0.11014
-0.12196,-0.39304,-0.11012
-0.10042,-0.39287,-0.11001
,-0.39287,-0.10998
,-0.39273,-0.10993
,-0.39218,-0.10927
-0.12166,-0.39194,-0.10913
,-0.39191,-0.10899
-0.11218,-0.39175,-0.1089
-0.09349,-0.39163,-0.10879
-0.03267,-0.39156,-0.10815
,-0.39134,-0.1081
-0.20306,-0.39126,-0.10802
-0.02256,-0.39093,-0.10753
,-0.39084,-0.10727
,-0.39081,-0.10665
,-0.39064,-0.10654
-0.87435,-0.3902,-0.10641
-0.13123,-0.38977,-0.10601
-0.01484,-0.38964,-0.10582
0.0418,-0.38914,-0.10571
0.08881,-0.38914,-0.10561
,-0.38842,-0.1052
,-0.38821,-0.10519
,-0.38807,-0.10492
,-0.38805,-0.10477
,-0.38778,-0.1047
,-0.38761,-0.10458
,-0.38588,-0.10456
-0.23728,-0.38577,-0.1044
0.04886,-0.38557,-0.10422
,-0.38475,-0.10403
,-0.38472,-0.10384
0.06571,-0.3842,-0.1034
0.09644,-0.38411,-0.10301
,-0.38379,-0.10284
,-0.38344,-0.10233
,-0.38316,-0.10226
,-0.38293,-0.10224
,-0.38221,-0.10221
,-0.38202,-0.10216
,-0.38105,-0.10196
