false_ties_score,true_ties_score,unlink_ties_score
-0.97012,-0.97185,-0.97185
-0.95548,-0.97144,-0.97123
-0.95355,-0.97123,-0.96873
-0.95334,-0.96873,-0.9644
-0.95327,-0.9644,-0.96003
-0.9506,-0.96417,-0.95798
-0.95031,-0.96003,-0.95778
-0.94975,-0.95798,-0.95608
-0.94718,-0.95778,-0.95333
-0.94685,-0.95608,-0.95241
-0.93963,-0.95424,-0.95057
-0.93597,-0.95333,-0.95038
-0.93407,-0.95241,-0.95008
-0.93327,-0.95116,-0.94949
-0.93246,-0.95057,-0.94922
-0.92935,-0.95038,-0.94871
-0.92881,-0.95008,-0.94741
-0.92768,-0.94971,-0.94638
-0.92648,-0.94949,-0.94615
-0.92509,-0.94922,-0.94481
-0.9241,-0.94877,-0.94446
-0.92316,-0.94871,-0.94445
-0.92045,-0.94853,-0.94433
-0.91985,-0.94839,-0.94422
-0.91955,-0.94741,-0.94367
-0.91919,-0.94725,-0.94341
-0.91842,-0.94673,-0.94303
-0.9166,-0.94638,-0.94219
-0.91551,-0.94622,-0.94166
-0.91409,-0.94615,-0.93879
-0.91348,-0.94606,-0.93871
-0.91269,-0.94552,-0.93299
-0.91242,-0.94481,-0.93032
-0.90869,-0.94446,-0.92986
-0.90699,-0.94445,-0.92959
-0.89776,-0.94433,-0.92889
-0.89094,-0.94422,-0.92773
-0.88801,-0.94367,-0.91662
-0.88636,-0.94341,-0.91061
-0.88505,-0.94303,-0.91058
-0.88393,-0.94219,-0.87375
-0.88378,-0.94166,-0.87325
-0.88174,-0.93975,-0.82769
,-0.93879,-0.82214
-0.88037,-0.93871,-0.81497
-0.88031,-0.93845,-0.809
-0.87378,-0.93607,-0.79978
-0.87284,-0.93299,-0.78756
-0.86914,-0.93192,-0.74294
-0.85916,-0.93138,-0.66593
,-0.93046,-0.64334
-0.79587,-0.93032,-0.59845
-0.7841,-0.92986,-0.59277
-0.6814,-0.92959,-0.59168
,-0.92959,-0.57202
-0.60812,-0.92889,-0.57034
,-0.92773,-0.53091
,-0.92734,-0.52242
-0.90251,-0.91662,-0.50631
-0.8941,-0.91061,-0.35967
,-0.91058,-0.16131
-0.7492,-0.90405,0.04246
-0.74211,-0.8946,0.10869
,-0.8896,0.16257
,-0.8894,0.23654
,-0.88561,0.25066
,-0.88218,0.40694
-0.31779,-0.88014,0.40921
,-0.87375,0.92634
-0.21141,-0.87325,0.94346
,-0.86518,0.95241
-0.88113,-0.85234,0.95406
-0.7779,-0.84548,0.96492
-0.61024,-0.82769,0.9695
,-0.82214,0.97093
,-0.81497,0.97112
-0.58792,-0.809,0.97202
-0.47834,-0.79978,0.97336
,-0.78756,0.97409
-0.96398,-0.77586,0.97432
-0.96048,-0.76804,0.97679
-0.95894,-0.76665,0.98828
-0.95657,-0.74939,
-0.94899,-0.74294,
-0.94558,-0.73758,
-0.93747,-0.73735,
-0.9367,-0.73476,
-0.93665,-0.7295,
-0.93183,-0.7267,
-0.92429,-0.72552,
-0.92416,-0.66593,
-0.92213,-0.64334,
-0.91287,-0.59845,
-0.91014,-0.59277,
-0.90935,-0.59168,
-0.90756,-0.59045,
-0.90669,-0.58198,
-0.90542,-0.57202,
-0.89916,-0.57034,
-0.89457,-0.55805,
-0.88181,-0.55253,
-0.87143,-0.53901,
-0.8708,-0.53091,
-0.85934,-0.52518,
-0.8481,-0.52242,
-0.67836,-0.51337,
-0.55936,-0.50631,
,-0.4629,
,-0.45483,
,-0.45443,
,-0.44628,
-0.9717,-0.41115,
-0.95429,-0.40899,
-0.95404,-0.40559,
-0.95071,-0.39403,
-0.95054,-0.39355,
-0.92121,-0.39311,
-0.91991,-0.38253,
-0.91591,-0.37207,
-0.91508,-0.36946,
-0.91402,-0.35967,
-0.91386,-0.3592,
-0.91214,-0.35805,
-0.90236,-0.33887,
-0.90053,-0.33297,
-0.89845,-0.32881,
-0.88812,-0.28358,
-0.88386,-0.26579,
-0.87909,-0.25457,
-0.87698,-0.25236,
-0.87008,-0.25017,
-0.86377,-0.24874,
-0.86072,-0.24791,
-0.84775,-0.24526,
-0.83958,-0.24311,
-0.83435,-0.23784,
-0.81157,-0.23741,
-0.80845,-0.2359,
-0.68931,-0.23586,
-0.53306,-0.23259,
-0.52541,-0.23101,
,-0.2294,
-0.50491,-0.22858,
,-0.22272,
,-0.22178,
-0.95106,-0.21535,
-0.95008,-0.2092,
-0.92956,-0.20684,
-0.92718,-0.20637,
-0.92665,-0.20433,
-0.92396,-0.19738,
-0.92021,-0.19579,
-0.91646,-0.1928,
-0.91432,-0.18187,
-0.90722,-0.17722,
-0.90454,-0.17211,
-0.90394,-0.17186,
-0.88574,-0.16551,
-0.8789,-0.16131,
-0.87629,-0.15922,
-0.87119,-0.15506,
-0.86894,-0.1538,
-0.86346,-0.14907,
-0.863,-0.1464,
-0.86282,-0.14307,
-0.85722,-0.14058,
-0.85188,-0.14046,
-0.83121,-0.13841,
-0.82757,-0.13296,
-0.81787,-0.12961,
-0.7974,-0.12951,
-0.78134,-0.12805,
-0.61155,-0.12543,
0.97306,-0.12452,
,-0.12199,
-0.9591,-0.11803,
-0.95478,-0.10949,
-0.95388,-0.10752,
-0.95178,-0.10458,
-0.95165,-0.10359,
-0.94924,-0.10153,
,-0.09089,
-0.95041,-0.07603,
-0.94758,-0.07304,
-0.94718,-0.07046,
-0.94714,-0.06533,
-0.94378,-0.06029,
-0.91992,-0.05559,
-0.91912,-0.05463,
-0.9133,-0.054,
-0.88409,-0.0526,
-0.86867,-0.05202,
-0.86746,-0.05179,
-0.8459,-0.05141,
-0.83041,-0.04838,
-0.77364,-0.04642,
,-0.04474,
-0.82885,-0.04332,
-0.77309,-0.03719,
-0.74102,-0.03719,
-0.58626,-0.03505,
-0.50385,-0.03368,
-0.18946,-0.03061,
,-0.03025,
,-0.02896,
,-0.02709,
-0.56009,-0.02595,
-0.53259,-0.02489,
-0.23225,-0.02427,
0.96892,-0.023,
,-0.02285,
-0.94242,-0.02188,
,-0.02125,
-0.97452,-0.01957,
-0.95762,-0.01872,
-0.94311,-0.01863,
-0.93831,-0.01835,
-0.93257,-0.01828,
-0.93099,-0.01821,
-0.92955,-0.01776,
-0.92783,-0.0162,
-0.92386,-0.01469,
-0.90204,-0.01453,
-0.88891,-0.01201,
-0.87056,-0.01175,
,-0.00995,
,-0.0098,
-0.95418,-0.00968,
-0.87714,-0.00506,
-0.78113,-0.00425,
,0.00177,
-0.88674,0.00237,
-0.83828,0.00292,
-0.75724,0.00426,
-0.66811,0.00428,
-0.44227,0.00557,
,0.00565,
-0.74298,0.00602,
-0.48196,0.00634,
0.0987,0.00721,
0.96416,0.00868,
,0.01152,
,0.01234,
,0.01289,
-0.97109,0.01309,
-0.95325,0.01438,
-0.95284,0.0151,
-0.94973,0.01708,
-0.94869,0.01826,
-0.94729,0.02084,
-0.94615,0.02093,
-0.94343,0.02293,
-0.94293,0.02534,
-0.93925,0.02538,
-0.9333,0.02564,
-0.93233,0.02721,
-0.93154,0.03261,
-0.93091,0.03359,
-0.93024,0.03608,
-0.93009,0.03646,
-0.91828,0.0415,
-0.91705,0.04246,
-0.91329,0.0457,
-0.89955,0.04856,
-0.89379,0.05281,
-0.88965,0.05404,
-0.88058,0.05525,
-0.86928,0.05761,
-0.85564,0.05908,
-0.84567,0.06093,
-0.84158,0.06135,
-0.82099,0.06753,
-0.65165,0.06882,
-0.46835,0.07141,
,0.07203,
-0.42404,0.0731,
-0.29655,0.07405,
,0.0775,
-0.90142,0.08337,
-0.88964,0.0841,
-0.87383,0.0928,
-0.8213,0.09517,
-0.81497,0.09762,
-0.77893,0.09857,
-0.46074,0.10089,
,0.10529,
-0.72537,0.10665,
-0.56811,0.10869,
-0.45442,0.11067,
,0.11807,
,0.12432,
-0.74543,0.12836,
-0.42032,0.13108,
,0.13902,
,0.14054,
,0.1427,
-0.09197,0.14302,
,0.15244,
-0.9551,0.16243,
-0.95392,0.16257,
-0.95263,0.1649,
-0.95212,0.16622,
-0.95211,0.16733,
-0.94813,0.17409,
-0.93915,0.17794,
-0.93332,0.17855,
-0.9312,0.18589,
-0.93095,0.18593,
-0.91813,0.18792,
-0.91114,0.19451,
-0.9089,0.19499,
-0.90011,0.19507,
-0.88403,0.21134,
-0.85079,0.21285,
-0.82627,0.21753,
-0.81245,0.21756,
-0.78756,0.22298,
-0.75837,0.2249,
-0.74769,0.22828,
-0.73798,0.23108,
-0.71023,0.23401,
-0.51308,0.23474,
-0.49629,0.23654,
,0.23678,
,0.24508,
,0.24678,
,0.24984,
,0.25066,
,0.25262,
,0.25329,
-0.95849,0.25535,
-0.95835,0.2639,
-0.95047,0.26559,
-0.94868,0.27033,
-0.94236,0.27117,
-0.93723,0.27336,
-0.93467,0.274,
-0.92865,0.27442,
-0.90707,0.27745,
-0.86455,0.27752,
-0.85481,0.27817,
-0.83863,0.27898,
-0.77773,0.2814,
-0.71068,0.28147,
-0.64318,0.28175,
,0.28561,
-0.60385,0.28785,
,0.28794,
,0.28904,
-0.92788,0.29604,
-0.82755,0.29648,
-0.58264,0.2965,
,0.30155,
-0.50183,0.3016,
-0.44323,0.30211,
-0.4107,0.30331,
-0.00448,0.30395,
,0.30815,
,0.3083,
,0.31059,
,0.31178,
-0.95681,0.31219,
-0.95665,0.31468,
-0.94102,0.317,
-0.92783,0.31798,
-0.92688,0.32112,
-0.92185,0.32556,
-0.91942,0.32573,
-0.91902,0.32669,
-0.91594,0.32768,
-0.91307,0.32989,
-0.91106,0.33057,
-0.90671,0.33313,
-0.90394,0.33342,
-0.89959,0.33427,
-0.89371,0.33667,
-0.88983,0.33871,
-0.88234,0.34141,
-0.8487,0.34212,
-0.84715,0.34218,
-0.81111,0.34533,
-0.804,0.34722,
-0.80184,0.34835,
-0.76052,0.35271,
-0.76008,0.35282,
-0.66176,0.35367,
-0.60892,0.35471,
-0.59296,0.35644,
-0.47693,0.35708,
0.30593,0.35926,
,0.36215,
,0.36437,
0.17212,0.36496,
,0.36497,
0.59223,0.36512,
,0.36621,
-0.95476,0.36633,
-0.95335,0.3685,
-0.95265,0.37022,
-0.9505,0.37035,
-0.94878,0.37072,
-0.94584,0.37085,
-0.94468,0.37486,
-0.94128,0.37491,
-0.93452,0.37635,
-0.93226,0.37728,
-0.93024,0.3785,
-0.92925,0.38136,
-0.92501,0.38191,
-0.92445,0.38312,
-0.92371,0.38377,
-0.92061,0.3843,
-0.91936,0.3854,
-0.91885,0.38562,
-0.91869,0.38569,
-0.90749,0.38579,
-0.90438,0.38598,
-0.90321,0.38601,
-0.90021,0.38657,
-0.89469,0.38767,
-0.88618,0.38866,
-0.83839,0.38913,
-0.77607,0.38917,
-0.75972,0.38931,
-0.7351,0.38986,
-0.29903,0.39029,
-0.11903,0.39047,
,0.39111,
,0.3917,
-0.95901,0.39197,
-0.95339,0.39336,
-0.95306,0.39346,
-0.95243,0.39564,
-0.94446,0.39572,
-0.94292,0.39744,
-0.94236,0.39885,
-0.93463,0.39938,
-0.92917,0.40054,
-0.92145,0.4016,
-0.91536,0.40169,
-0.90829,0.40185,
-0.90147,0.40202,
-0.89687,0.40336,
-0.89146,0.40413,
-0.87968,0.40694,
-0.87126,0.40724,
-0.86154,0.40796,
-0.84944,0.40797,
-0.8451,0.40834,
-0.65915,0.40921,
-0.59215,0.40951,
,0.40956,
,0.41307,
-0.87132,0.41473,
-0.82082,0.41584,
-0.8133,0.41649,
-0.77689,0.41708,
-0.70392,0.41779,
-0.34868,0.41816,
-0.01062,0.41849,
,0.41873,
,0.41911,
-0.95313,0.4195,
-0.94861,0.41963,
-0.94843,0.42088,
-0.94813,0.42188,
-0.94748,0.42226,
-0.94495,0.42381,
-0.93483,0.42447,
-0.932,0.42449,
-0.93172,0.42473,
-0.92452,0.42643,
-0.9215,0.42648,
-0.91856,0.42774,
-0.91502,0.42967,
-0.90856,0.42968,
-0.74824,0.42993,
,0.42997,
-0.90868,0.43058,
-0.89741,0.4319,
-0.63592,0.43201,
,0.43252,
-0.95747,0.43262,
-0.95107,0.43346,
-0.92453,0.43395,
-0.88908,0.4344,
-0.8723,0.43442,
-0.80183,0.43515,
-0.5884,0.43582,
-0.5686,0.4364,
-0.55719,0.4372,
-0.44458,0.43765,
,0.43805,
,0.43914,
,0.43924,
-0.88477,0.4393,
,0.43974,
-0.95172,0.44017,
-0.93921,0.4408,
-0.9353,0.44206,
-0.91787,0.44215,
-0.90259,0.44217,
-0.90029,0.44224,
-0.87636,0.44248,
-0.75471,0.44271,
-0.70089,0.44292,
,0.44308,
,0.44325,
-0.9437,0.44365,
-0.93533,0.44388,
-0.89556,0.44392,
-0.88347,0.44411,
