false_ties_score,true_ties_score,unlink_ties_score
-0.005357,-0.0114413,
-0.0044323,-0.0105166,
-0.0040352,-0.007011,
-0.0040223,-0.0049469,
-0.0039679,-0.0033537,
-0.0039679,-0.0031406,
-0.0039679,-0.0028269,
-0.0039679,-0.0023885,
-0.0039679,-0.0014813,
-0.0039679,-0.0011645,
-0.0039679,-0.0005567,
-0.0039679,0.0005691,
-0.0039679,0.0012897,
-0.0035986,0.0020421,
-0.0034262,0.0032657,
-0.0032752,0.0033409,
-0.0032623,0.0033821,
-0.0030432,0.0040687,
-0.0030432,0.0049197,
-0.0030432,0.0050255,
-0.0030432,0.0050384,
-0.0030432,0.0053169,
-0.0030432,0.0053298,
-0.0030432,0.0054419,
-0.0030432,0.0061893,
-0.0030432,0.0066781,
-0.0028588,0.0068194,
-0.0026919,0.0068505,
-0.002674,0.0069635,
-0.0025016,0.0070144,
-0.002429,0.0071752,
-0.0023506,0.007315,
-0.0023377,0.0074179,
-0.0021114,0.0075782,
-0.0019341,0.0075848,
-0.0019022,0.0076899,
-0.0017672,0.0077936,
-0.0011868,0.0078025,
-0.0007612,0.0080419,
-0.0006205,0.0081653,
-0.000537,0.0086483,
0.0001634,0.0087954,
0.0003042,0.0096562,
0.0003877,0.010263,
0.0008526,0.0106736,
0.0017772,0.0111293,
0.0024673,0.0117215,
0.0029437,0.011937,
0.0030434,0.0123955,
0.0033919,0.0156473,
0.0043067,0.0159825,
0.0043329,0.0166024,
0.0043329,0.0168718,
0.0043329,0.0173724,
0.0043329,0.0184887,
0.0043329,0.0187791,
0.0043329,0.018977,
0.0043329,0.0189918,
0.0043329,0.0190792,
0.0043329,0.0192361,
0.0047021,0.019291,
0.0056088,0.0203008,
0.0063089,0.0208942,
0.0063089,0.0212817,
0.0063089,0.0222225,
0.0063089,0.0238356,
0.0063089,0.0618638,
0.0063089,0.0636282,
0.0063089,0.0645832,
0.0063089,0.0648526,
0.0075395,0.0653532,
0.0076802,0.0669578,
0.0077637,0.0672169,
0.0091533,0.0672718,
0.0095155,0.068875,
0.0097397,0.0692625,
0.010768,0.0702033,
